Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"SH:Almost exactly the same as Anderson Subbasin GSP, excludes Tribes since federally recognized Redding Rancheria Tribe is present only in Anderson. More information is needed on GSP outreach during implementation. 
ISW: Decent assessment of ISWs, clear map and methods were explained well; no data gaps identified even though there is said to be a lack of shallow wells to identify GDEs?
GDE: No inventory or description of fauna or critical or listed species; clear description of GDE assessment methods; good maps; only one year of groundwater data used; data gaps somehwat identified and pGDEs were acknolwedged
CC: GSP used one GCM/RCP combination to incorporate precip, ET (not native), and surface flow (not imports) into projected water budget. Sustainable Yield estimate based off of future conditions with climate change considered.
SMC: No thorough evaluation on beneficial users
PMA: Very small section, they have ongoing and planned section.
Other: No mention of OpenET; some metering already ongoing (no new plans); water markets in place. Planned PMAs addressed both demand reduction and supply augmentation. ",,,,GSP ID,34,,,
,,,,,,,GSA Name,Enterprise-Anderson GSA,,,
,,,,,,,Subbasin Name,REDDING AREA - ENTERPRISE,,,
,,,,,,,Consultant,Jacobs,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,2379,,,
,,,,,,,DAC Population,71171,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
