Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"SH: There are no tribal lands within the subbasin, DACs were listed as not identified, yet they reference about a 1% DAC presence in the Basin, no mapping or further mention of DACs within the basin. 
ISW: no ISW map, very brief ISW section, more information in water budget section,  but no details about groundwater or surface data used to assess ISWs; The plan briefly described the likely ISW in the basin
GDE:flora, fauna, and critical species are mentioned; methods for GDE assesment are given, but there is not intiital GDE map to compare to - unsure which GDEs were removed/kept; very little details on groundwater data; map of pGDEs,
CC: Used a single RCP (8.5) and GCM (HadGEM2-ES) to account for precip, ET, surface flow, and sea level rise (native veg not given its own line). Projected SY based on past (2002-2011) data rather than the projected WB (though continued sustainability is projected).
SMC: They have done a decent job, they are still missing details and have data gaps regarding ISW and GDE. 
PMA: They don't have many plans, but they did a good job explaining what their projects, however more details are needed for benefits to beneficial users.
Other: No mention of OpenET, mention of potential meter requirements, water markets mentioned briefly. PMAs were short but addressed both demand reduction and supply augmentation in planned projects. Coordination with RWQCB clearly stated.",,,,GSP ID,32,,,
,,,,,,,GSA Name,Petaluma Valley GSA,,,
,,,,,,,Subbasin Name,PETALUMA VALLEY,,,
,,,,,,,Consultant,"Sonoma Water, Sacramento State University Consensus and Collaboration Program, Montgomery & Associates, Jacobs","Sonoma Water: Marcus Trotta (project manager), Jay Jasperse (plan manager), Ann DuBay (GSA administrator), and project team members Nathan Baskett, Mitchell Buttress, Celeste Dodge, Stephen Maples, Tracy Nishikawa, Simone Peters, Andrew Rich, Andrea Rodriguez
Sacramento State University Consensus and Collaboration Program: Sam Magill
Montgomery & Associates: Lisa Porta, Derrik Williams, Georgina King, Cameron Tana, Pete Dennehy, Colin Kikuchi, Jonathan Reeves, Patrick Wickham, Jane Patel
Jacobs: Karen Askeland and her team, Craig Cooledge",,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,312,,,
,,,,,,,DAC Population,,,"<--- Temporary screenshot for reference (DAC block group in purple, population of DACs 3,673)",
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Disadvantaged Communities:  None identified in Petaluma Valley

Community events: Disadvantaged Communities are specifically called out in SGMA as an interested party. While 81 percent of the area in the Petaluma Valley Basin is designated an Economically Distressed Area, only one percent is categorized as a Disadvantaged Community. It is likely that many of the people living in the DAC area are Spanish speaking, and many are relatively recent immigrants. Previous assessments of engaging Sonoma County’s Spanish speaking community recommend using “food, faith and festivals” as opportunities to educate and interact with people on critical issues. Connecting with communities through existing organizations, like Petaluma People Services Center and the Boys and Girls Club, and through community events, churches and schools, provides an opportunity share information and solicit feedback on rate/fee options and GSP elements.

&&

Communication Forums & Tools Governance Agencies Briefings: Board members will brief their councils or boards regularly on GSA activities and will work with GSA staff to provide additional briefings on sensitive or important topics. In Year One, the goal is to brief member agencies about the initiation of the GSP and the rate/fee study in January and about proposed rate/fee options in April. The purpose of the briefings is to inform boards and councils about the purpose of the GSP and the rate/fee study; the necessity and timing of the rate/fee study; and to get feedback on proposed rate/fee options. 
Stakeholder Briefings: Advisory Committee members will meet with and communicate regularly with organizations comprised of the stakeholder groups they represent. To avoid overlap and mixed messages, all briefings will be coordinated with outreach staff. Many stakeholder groups were interviewed in 2015, during SGMA initial stakeholder outreach. The Stakeholder Assessment can be found online at www.sonomacountygroundwater.org. 
Community events: Disadvantaged Communities are specifically called out in SGMA as an interested party. While 81 percent of the area in the Petaluma Valley Basin is designated an Economically Distressed Area, only one percent is categorized as a Disadvantaged Community. It is likely that many of the people living in the DAC area are Spanish speaking, and many are relatively recent immigrants. Previous assessments of engaging Sonoma County’s Spanish speaking community recommend using “food, faith and festivals” as opportunities to educate and interact with people on critical issues. Connecting with communities through existing organizations, like Petaluma People Services Center and the Boys and Girls Club, and through community events, churches and schools, provides an opportunity share information and solicit feedback on rate/fee options and GSP elements. Public Meetings/Hearings Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. SGMA requires that a public meeting be held prior to the adoption of a fee and public hearings for the adoptions of GSP elements and the final plan. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSA will hold required public meetings and hearings, but will also use less informal public workshops (described below) to solicit feedback and information early in the process. 5 Public Workshops Public educational workshops provide less formal opportunities for people to learn about groundwater, SGMA, financing options, and GSP elements. Workshops can be organized in a variety of ways, including open houses, world cafes and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, “dot” voting, comment cards and other techniques. Whatever format of workshop is used, it will be designed to maximize opportunities for public input. A workshop will be held in the spring of Year One (2018) to describe and solicit feedback on fee/rate options. Workshops will also be held as GSP elements are being developed. Public Notices In addition to the public notice required for fee adoption, SGMA requires that prior to initiating the development of a GSP, the GSA must provide a written statement describing the manner in which interested parties may participate in the development and implementation of the GSP. The statement must be provided to all the cities within the basin and to the County of Sonoma. As outlined in this Community Engagement Plan, there will be a variety of opportunities for people to participate in the development and implementation of the GSP, including workshops, public hearings, providing comments at Board and Advisory Committee meetings and through written comments. In Spring 2018, staff and legal counsel will work with the Advisory Committee and the Board on development of a written statement for public participation","Appendix 1-E , Page 5, 6
Apendix 1-E-1","1. DAC's identified? (yes/no): No, the GSP documented not identifying DACs within Petaluma Valley GSP. They reference that less than 1% of the area is categorized as DAC and have assumed that the small DAC population is mostly recent immigrants and Spanish speakers. 
2. If yes, which level of engagment: GSP assumed that the small DAC population is mostly recent immigrants and Spanish speakers and documented the idea of using community events based on faith and food festivals to engage DACs. Most of the documented engagement is based on informing. 
3. Evidence/strategies listed for level of engagement:
GSP provides some form of targeted engagement for DACs through community events, also includes engagement open to all stakeholders identified. "
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,"

Tribes  No recognized tribes in Petaluma Valley",Appendix 1-E-1,"1. Tribes identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:"
