Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"ISW: the plan did not create a detailed ISW map and did not have clear conlusions. The shallow principal aquifer was acknowledged well and so were data gaps. More data is needed to understand aquifer system, especially perched aquifers
GDE: Good description of flora and fauna, but some issues with groundwater data used in assessement. Only one year of groundwater data is used and the plan excluded GDEs that are likely relient on perched aquifer. Data gaps are acknolwedged well.
CLIMATE CHANGE: Water budget section did a good job incorporating numerous CC scenarios and using quantified estimates as to how precip, ET, and streamflow inputs/outputs change in each scenario. Projected SY given as a range based on the water budgets of different CC scenarios. 
OTHER: First GSP I've seen to use satellite data to estimate GW extraction (not Open ET though). Plans for water market in place as PMA; PMAs overall did a good job addressing and mitigating overdraft, but the status of PMAs (planned vs proposed) not super clear based off wording in section 18.3.
Stakeholders: Included both a seperate engagement plan for Tribes and DACs but did not focus as much on environmental users, proviided approximate DAC populations, mapped both DAC and Tribal Lands. Could use some more detail, but overall better engagement than other GSPs. ",,,,GSP ID,12,,,
,,,,,,,GSA Name,Cosumnes Subbasin SGMA Working Group,,,
,,,,,,,Subbasin Name,SAN JOAQUIN VALLEY - COSUMNES,,,
,,,,,,,Consultant,"EKI Environment & Water, Inc.",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,6095,,,
,,,,,,,DAC Population,7740,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,1393,,,
,,,,,,,Point Contact Name,Sara,,,
,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
