Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,"ISW: Overall, moderate effort. Map of ISWs but unclear; data used to assess ISWs could be described in more detail; data gaps are not identified in ISW section; map shows pISWs, but no description in text
GDE: Moderate effort. Good inventory of flora and fauna in GDEs; Map of GDEs using NC dataset; lack of description of methods used to assess GDEs; No groundwater data mentioned; no map or description of pGDEs",,,,GSP ID,60,,,,
,,,,,,,GSA Name,Siskiyou County Flood Control and Water Conservation District GSA,,,,
,,,,,,,Subbasin Name,SCOTT RIVER VALLEY,,,,
,,,,,,,Consultant,UC Davis/ LWA,,,,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,3381,,,,
,,,,,,,DAC Population,784,,,,
,,,,,,,Tribal population,57,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,,
,,,,,,,Point Contact Name,Will,,,,
,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
Martha,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","no = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"DWR created a stakeholder engagement chart to help GSAs identify and engage the range of beneficial groundwater users in a local basin that must comply with SGMA. Table 1 below is a modified version which lists identified stakeholder groups in the Scott Valley Community. Originally developed by GSA staff, the table has been reviewed and improved by the Scott Valley Advisory Committee. Interested parities may also be affected by SGMA. The table may be improved and updated at any time during GSP development or implementation process.Listed groups represent a priority target audience for SGMA related communication and engagement. ","Table 1, 7 / Appendix 1-B
Appendix 1-B, Page 6","1. DAC's identified? (yes/no): Yes
2. If yes, which level of engagment: Inform/Consult -- could be involve if they are in the Advisory Committee - but it is not clear and most likely no
3. Evidence/strategies listed for level of engagement:

Lists disadvantaged communities as stakeholder groups that the Stakeholder Engagement plan will address. However, the advisory committee is not clear in whether representatives from these DACs and SDACs are a part of the committee",
