Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"SH: Although the GSP mentions different stakeholders throughout the GSP,  it does not formally identify or map any stakeholders present including DACs, Tribes or Environmental stakeholders. No map of domestic wells and well depth is provided, no DAC population or water sources are identified. 
ISW: very brief ISW assessment (which is combind with GDE assessment) no ISW map and very vague analysis; unsure of the conclusions; shallow principal aquifers are acknolwedged; data gaps somewhat identified 
GDE: vegetation in GDEs described but no fauna; only one crtical species mentioned; clear description of methods to assess GDEs in appendix 3C; Uncercainty in groundwater data used in model (see appendix 3D); data gaps are somewhat identified 
CC: Unclear if CC adjustments were used in projected budget; 2030 and 2070 scenarios claimed to be considered. Adjusted values for precip and ET given for 2030 only. Projected SY is based on historical SY.
SMC: They have data gaps regarding GDE and DOmestic users, which needs to be addressed
PMA: Very vague section, not clear when plans will be implemented, who is the responsible party. 
Other: No reference to OpenET; metering requirement proposed; no new markets referenced. PMAs were vague about implementation/benefits, but demand reduction is ongoing and supply augmentation has been proposed.
",,,,GSP ID,51,,,
,,,,,,,GSA Name,Pauma Valley GSA,,,
,,,,,,,Subbasin Name,SAN LUIS REY VALLEY - UPPER SAN LUIS REY VALLEY,,,
,,,,,,,Consultant,Geoscience,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,2045,,,
,,,,,,,DAC Population,814,,,
,,,,,,,Tribal population,1125,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
