Unnamed: 0,y tonz,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"ISW: good ISW map, model used but little details about data in model (throughout plan or in appendices), uncertain the extent of ISWs based on conclcusions, data gaps identified in different section, pISWs mapped because percentage of connection is shown
GDE: Only a description of critical fauna species, lack of flora. The plan removed GDEs on Thomas Creek despite there being very minimal data in that area of basin. Only one year of groundwater used in assessment. Data gaps clearly identified but pGDEs not fully mapped/described.
SMC: For each indicator they focused on one beneficial user and kind of didn't pay much attention to the rest for example( GW elevation :domestic users, ISW: GDE)
PMA: A very detailed and clearly stated PMA section. With Figures to show the PMA locations, benefits, ...
Stakeholders: It seems like the most documented engagement would be with tribes. GSP seems to include mostly vague and general language when engaging DACs, tribes and environmental stakeholders. Tribal lands are identified but not mapped, domestic wells are mapped. MOst of the GSP engagement documented is superficial and lacks details , GSp does not place emphasis on outreach during GSP implementation, instead they merge GSP development and implementation outreach together. ",,,,GSP ID,36,,,
,,,,,,,GSA Name,Tehama County Flood Control and Water Conservation District GSA,,,
,,,,,,,Subbasin Name,SACRAMENTO VALLEY - CORNING,,,
,,,,,,,Consultant,Corning Sub-basin GSA (CSGSA) and the Tehama County Flood Control and Water Conservation District,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,8521,,,
,,,,,,,DAC Population,26022,,,
,,,,,,,Tribal population,"0 -
Tribal population is 0 but GSP has identified Tribal lands",Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,95,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
