Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,GSP ID,45,,,,
,,,,,,,GSA Name,West San Jacinto GSA,,,,
,,,,,,,Subbasin Name,SAN JACINTO,,,,
,,,,,,,Consultant,Dudek; Woodard and Curran,,,,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,3931,,,,
,,,,,,,DAC Population,329611,,,,
,,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,,
,,,,,,,Point Contact Name,Sara,,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"""EMWD invites comments from DAC community members at public meetings and DAC community representatives are on the list of  interested parties and the stakeholder advisory group (SAG) list of invitees. DAC community members  are invited to participate in quarterly SAG meetings. Meeting materials are posted to the EMWD  SGMA webpage for public review and comments.""  && ""A Stakeholder Advisory Group (SAG) was developed to provide feedback to the West San Jacinto GSA on materials being incorporated into the West San Jacinto GSP. Meetings of the SAG will be a central forum for stakeholder engagement throughout the GSP development process. In addition to the stakeholders within the GSA, neighboring stakeholders may also participate in SAG meetings, collaborate, and reviewthe GSP as appropriate. All SAG meetings are open to members of the public. SAG meeting notices are distributed via email to individuals on the interested parties list as well as anyone that subscribes to theWest San Jacinto GSA email distribution list through the EMWD website. The SAG comprises ofrepresentatives from Box Springs Mutual Water Company, California Department of Fish and Wildlife,California Department of Water Resources, City of Canyon Lake, City of Hemet, City of Lake Elsinore, City of Menifee, City of Moreno Valley, City of Murrieta, City of Perris, City of Riverside Public Utilities, City of San Jacinto, County of Riverside, County of Riverside Department of Environmental Health, Domenigoni, Edgemont Community Services District, Elsinore Valley Municipal Water District, Good Hope Municipal Advisory Council, Hemet-San Jacinto Watermaster, Lake Elsinore and San Jacinto Watersheds Authority, Lake Hemet Municipal Water District, Land Owners, Local Agency Formation Commission, Liberty Utilities, March Air Reserve Base, March Joint Powers Authority, Mead Valley Municipal Advisory Council, Nuevo Water Company, Rancho California Water District, Riverside County Flood Control and Conservation District, Riverside County Department of Environmental Health, San Jacinto River
Watershed Council, Santa Margarita River Watershed Watermaster, Santa Ana Watershed Project Authority, Soboba Band of Luiseno Indians, The Farm Mutual Water Company, Valley-Wide Recreation and Park District, WEI Water, Western Municipal Water District, Western Riverside County Agricultural Coalition, Western Riverside Council of Governments, Western-San Bernardino Watermaster, Well Owners, Winchester-Homeland Municipal Advisory Council, and Other Stakeholders. Key EMWD Executive, Management, Public Affairs, Water Resource Planning, Engineering, Operations and Environmental staff also participate in the SAG meetings."" ",2.1.5.1 (pp. 2-42 and 2-43) && Appendix F - 6.1 (p.7),"1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagement= Inform & Involve
3. Evidence/strategies listed for level of engagement:

DACs are identified as stakeholders within the basin and were invited to be a part of the Stakeholder Advisory Group for the basin. ",
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,"""The Soboba Band of Luiseño Indians Reservation  overlaps with the Hemet-San Jacinto Management Area in the SJGB. There are no federally recognized tribal lands within the Plan Area."" && ""In addition to surface water spreading, the Grant Avenue Ponds are used to recharge SWP water  imported by EMWD as part of the Soboba Settlement Agreement. Under the Soboba Settlement  Agreement MWD will deliver an average of 7,500 AF of SWP water per year to EMWD for 50  years from the date of judgement, June 7, 2006. EMWD has implemented the Physical Solution via recharge of SWP water at the Integrated Recharge and Recovery Ponds (IRRP) and Grant  Avenue Ponds. Annual accounting of SWP deliveries, recharge, and carry-over accounts are reported  in the Hemet-San Jacinto Groundwater Management Area Annual Reports (e.g., EMWD 2019b). ""
",2.1.5.1 (p. 2-41),"1. Tribes identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:",
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"There are limited environmental users of groundwater in the Plan Area  (see Section 2.4.7 Groundwater Dependent Ecosystems). EMWD has taken steps to incorporate  the interests of environmental users in the development of the GSP through a review and  documentation of the potential interconnectedness of surface and groundwater in the Plan Area. && ""A Stakeholder Advisory Group (SAG) was developed to provide feedback to the West San Jacinto GSA on materials being incorporated into the West San Jacinto GSP. Meetings of the SAG will be a central forum for stakeholder engagement throughout the GSP development process. In addition to the stakeholders within the GSA, neighboring stakeholders may also participate in SAG meetings, collaborate, and reviewthe GSP as appropriate. All SAG meetings are open to members of the public. SAG meeting notices are distributed via email to individuals on the interested parties list as well as anyone that subscribes to theWest San Jacinto GSA email distribution list through the EMWD website. The SAG comprises ofrepresentatives from Box Springs Mutual Water Company, California Department of Fish and Wildlife,California Department of Water Resources, City of Canyon Lake, City of Hemet, City of Lake Elsinore, City of Menifee, City of Moreno Valley, City of Murrieta, City of Perris, City of Riverside Public Utilities, City of San Jacinto, County of Riverside, County of Riverside Department of Environmental Health, Domenigoni, Edgemont Community Services District, Elsinore Valley Municipal Water District, Good Hope Municipal Advisory Council, Hemet-San Jacinto Watermaster, Lake Elsinore and San Jacinto Watersheds Authority, Lake Hemet Municipal Water District, Land Owners, Local Agency Formation Commission, Liberty Utilities, March Air Reserve Base, March Joint Powers Authority, Mead Valley Municipal Advisory Council, Nuevo Water Company, Rancho California Water District, Riverside County Flood Control and Conservation District, Riverside County Department of Environmental Health, San Jacinto River Watershed Council, Santa Margarita River Watershed Watermaster, Santa Ana Watershed Project Authority, Soboba Band of Luiseno Indians, The Farm Mutual Water Company, Valley-Wide Recreation and Park District, WEI Water, Western Municipal Water District, Western Riverside County Agricultural Coalition, Western Riverside Council of Governments, Western-San Bernardino Watermaster, Well Owners, Winchester-Homeland Municipal Advisory Council, and Other Stakeholders. Key EMWD Executive, Management, Public Affairs, Water Resource Planning, Engineering, Operations and Environmental staff also participate in the SAG meetings."" ",2.1.5.1 (p. 2-42) && Appendix F - 6.1 (p.7),"
1. Environmental Stakeholders identified?
2. Which level of engagment:
3. Evidence/strategies listed for level of engagement:",
