Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"Section 2 - Appendix 2D (forthcoming)

SH: All stakeholders  (DACs, Tribes, Enviornmental stakeholders) either have a position open to fill or already have representatives on the Advisory Board, domestic wells were mapped along with specific well depths on the map. 
ISW: no clear ISW map, only profile view figures of creek bed elevation compared to groundwater; conclusion are based on groundwater data from deep wells; data gaps identified but no pISWs mapped or discussed
GDE: flora and fauna described; clear methods for GDE assessment using NC dataset; proximity to irrigated land used as criteria to remove GDEs; data gaps are not clearly described; figure 3-58 presents the pGDEs, yet there are liklely missing pGDEs based on criteria used
CC: Used 2 GCM/RCP combinations to account for precip, ET (native not separated), and surface flow (imports adjusted). Projected SY given as a range based on projected future conditions.
SMC: This section is missing evaluation on DAC and Tribes, Not thorough evaluation on domestic users and GDE.
PMA: No recharge project, they do have well mitigation program and they have mentioned tribes in this section, not a thorough evaluation on benefits to beneficial users
Other: No reference to OpenET, meter requirements, or water markets. PMAs did not address demand reduction, but a proposed project addressed supply augmentation.",,,,GSP ID,65,,,
,,,,,,,GSA Name,Big Valley(Lake County),,,
,,,,,,,Subbasin Name,BIG VALLEY,,,
,,,,,,,Consultant,"Stantec
Consulting",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,240,,,
,,,,,,,DAC Population,5106,,,
,,,,,,,Tribal population,81,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
