Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,"ISW: map included but more information is needed on data and methods; lack of temporal description; pISWs somewhat mapped - lack of detail
GDE: good inventory of flora and fauna in GDEs; Map of GDEs from NC dataset; GDEs removed due to irrigation return flows and perenial flows; data gaps not fully addressed or mapped
SMC: More detail and evaluation is needed on GW elevation and ISW section, no mention of tribes and DAC.",,,,GSP ID,64,,,,
,,,,,,,GSA Name,Upper Ventura River Groundwater Agency GSA,,,,
,,,,,,,Subbasin Name,VENTURA RIVER VALLEY - UPPER VENTURA RIVER,,,,
,,,,,,,Consultant,"Bondy Groundwater Consulting, Inc.",,"pg 5, 2.1.2",,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,977,,,,
,,,,,,,DAC Population,0,"

Disadvantaged communities in the Basin include the community of Casitas Springs. The community is served by Casitas Mutual Water Company, Ventura River Water District, and Casitas Municipal Water District, the latter two being signatory members to the JPA Agreement forming the Agency. Thus, the community is represented on the Agency’s Board of Directors.","pg 8, appendix C",TNC data appears to be wrong; GSP identifies a DAC living around Casitas Springs despite TNC data listing a DAC population of 0 within the basin,
,,,,,,,Tribal population,0,"The Basin lies within the traditional tribal territory of the Chumash; however, there are no tribal trust lands located within the basin.","Pg 7, appendix E",,
,,,,,,,Acreage of Managed Wetlands,No Data,,,,
,,,,,,,Point Contact Name,Will,,,,
,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
Martha,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","no = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"Disadvantaged Communities, including, but not limited to those served by private domestic wells or small community water systems. The community of Casitas Springs is recognized as a disadvantaged community. The community is served by Casitas Mutual Water Company, Ventura River Water District, and Casitas Municipal Water District, the latter two being signatory members to the JPA Agreement forming the Agency. Thus the community is represented on the Agency’s Board of Directors. The Agency also plans to form an advisory committee and reserve a seat for domestic well owners.
&&
Outreach was performed throughout the SMC development process to encourage input on the proposed SMC, including GSP newsletters, e-mails to the interested parties list, social media posts, telephone communications with stakeholders, updates at the Ventura River Watershed Council, public notices, newspaper articles, and direct outreach to the DACs of the Casitas Springs community.
&&
Despite the high degree of direct stakeholder representation on the UVRGA Board of Directors, the UVRGA Board appointed an Ad Hoc Stakeholder Engagement Committee to seek, encourage, and consider as much public input on the GSP as possible and to ensure compliance SGMA requirements (Appendix C). The Ad Hoc Stakeholder Engagement Committee was developed in 2017 to seek input on the GSP and consists of three UVRGA Directors, including both Stakeholder Directors. The Ad Hoc Stakeholder Engagement Committee performs one-on-one outreach with stakeholders and coordinates with the UVRGA Executive Director. The UVRGA Board also appointed an Ad Hoc Funding Committee to perform additional one-on-one outreach to groundwater pumpers during the groundwater extraction fee development process during 2018 and 2019.
&&
UVRGA Board Meetings: Regular and Special meetings of the UVRGA Board of Directors provide opportunities for the public to engage with the Board, Executive Director, and consultants and provide direct input. The public is welcomed to comment at each meeting and the UVRGA Board regularly incorporates public suggestions into its deliberations and the decisions it makes during Board meetings. Meeting notes are kept and submitted to the UVRGA Board for approval. All meeting minutes and notes are collected on the UVRAG Website along with supporting agendas, packets, and presentation materials.
GSP Workshops: UVRGA holds public workshops to provide in depth discussion of the GSP and obtain stakeholder feedback. The workshops include polls to help facilitate public input on key issues and identify which outreach methods are most effective. Public input received during the GSP Workshops is reviewed with UVRGA Board of Directors during subsequent Board meetings prior to making decisions.","Appendix E Page 8 / 4.2
Page ES-xi / ES-6
Page 22 / 2/3
Page 28 / 2.3.4.2","1. DAC's identified? (yes/no):
Yes
2. If yes, which level of engagment:
Involve/empower
3. Evidence/strategies listed for level of engagement:
They have public meetings, during covid they had virtual meetings, They reach out through email, mail & newsletters, and keep recording of the meetings on their website /They have public & local agency meetings. DACs are represented on the board by their water districts. Direct representation for DACs may be more benefecial than representation from water districts and we may see this with the plans to form an advisory commitee with a seat reserved for domestic well owners",
Martha,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Somewhat,"California Native American Tribes 1) Barbareño-Ventureño Band of Mission Indians A representative of overlying California Native American tribes is on the Agency’s interested parties list, as a result of which this individual receives notices of all 8 Agency meetings and other stakeholder involvement opportunities./Portions of the Barbareno-Ventureno Band of Mission Indians are located within the UVR Basin. Although the tribe is not subject to the requirements of SGMA, any federally recognized Indian tribe may voluntarily participate with GSAs in the preparation or administration of a GSP.
&&
Since tribal participation is integral to the success of groundwater sustainability in the UVR Basin, tribal participation is encouraged. After the UVRGA was formed, communication was established with the Tribal Elder, Julie Tumamait, to determine the preferred level of involvement throughout GSP development and implementation. UVRGA will maintain close contact with Barbareno-Ventureno Band of Mission Indians throughout the GSP development process and GSP implementation.
&&
A record of those attending public meetings will be maintained throughout the GSP development process. The UVRGA will utilize sign-in sheets and request feedback from attendees to determine adequacy of public education and productive engagement in the GSP development and implementation process. Meeting minutes will also be prepared and will be provided on the UVRGA website once approved.","Appendix E: Page 7 / 4.2
 Page 9 / 4.9
Page 10 / 5.1
Table 1 Appendix A","1. Tribes identified? (yes/no):
Yes
2. If yes, which level of engagment:
Inform/consult
3. Evidence/strategies listed for level of engagement:
Informing and consulting are clearly stated, but level of actual involvement with GSP development is vague. Somewhat (inform/consult) (perhaps a Yes depending on level of ""preferred involvement"" is explained in further detail)",
Martha,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"Environmental and Ecosystem - There are numerous environmental organizations dedicated to preserving and maintaining environmental values operating within the boundaries of the UVR Basin. To account for these users’ interests, the Agency designated a seat on its seven- member governing board to be filled by an Environmental Stakeholder Director. The Environmental Stakeholder Director is appointed from nominations received from local environmental nonprofit organizations supportive of the UVR Basin’s groundwater sustainability. The Environmental Stakeholder Director is responsible for engaging stakeholders within the UVR Basin representing environmental users of surface and groundwater and representing their interests before the Agency.

The UVRGA Board of Directors includes an Environmental Stakeholder Director appointed from nominations received from local environmental nonprofit organizations. The Environmental Stakeholder Director is responsible for engaging stakeholders within the Basin and representing environmental interests before the Agency. Thus, many of the interests in the Basin have direct representation in the SMGA process by virtue of a director on the UVRGA Board of Directors. -- Despite the high degree of direct stakeholder representation on the UVRGA Board of Directors, the UVRGA Board appointed an Ad Hoc Stakeholder Engagement Committee to seek, encourage, and consider as much public input on the GSP as possible and to ensure compliance SGMA requirements (Appendix C). The Ad Hoc Stakeholder Engagement Committee was developed in 2017 to seek input on the GSP and consists of three UVRGA Directors, including both Stakeholder Directors. The Ad Hoc Stakeholder Engagement Committee performs one-on-one outreach with stakeholders and coordinates with the UVRGA Executive Director. The UVRGA Board also appointed an Ad Hoc Funding Committee to perform additional one-on-one outreach to groundwater pumpers during the groundwater extraction fee development process during 2018 and 2019.","Appendix E Page 6 / 4.2
Page 22 / 2.3","1. Environmental Stakeholders identified?
Yes
2. Which level of engagment:
Involve/empower
3. Evidence/strategies listed for level of engagement:
The BoD includes an Environmental Director, as well as several committees dedicated to engaging stakeholders.",
Martha,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"Disadvantaged Communities, including, but not limited to those served by private domestic wells or small community water systems. The community of Casitas Springs is recognized as a disadvantaged community. The community is served by Casitas Mutual Water Company, Ventura River Water District, and Casitas Municipal Water District, the latter two being signatory members to the JPA Agreement forming the Agency. Thus the community is represented on the Agency’s Board of Directors. The Agency also plans to form an advisory committee and reserve a seat for domestic well owners.",Appendix E Page 8 / 4.2,"1. Documents outreach plans to stakeholders? (yes/no)
Yes
2. List specific outreach methods for DACs?  ( yes/no)
Yes
3. What level of outreach engagement? 
Involve/empower; The DAC mentioned is represented on the BoD, and will also be represented once it acquires a seat on the planned advisory committee. It is likely that the BoD and the advisory committe will be involved in the implementation process",
Martha,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Somewhat,"Since tribal participation is integral to the success of groundwater sustainability in the UVR Basin, tribal participation is encouraged. After the UVRGA was formed, communication was established with the Tribal Elder, Julie Tumamait, to determine the preferred level of involvement throughout GSP development and implementation. UVRGA will maintain close contact with Barbareno-Ventureno Band of Mission Indians throughout the GSP development process and GSP implementation.",Appendix E Page 10 / 4.9,"1. Documents outreach plans to stakeholders? (yes/no)
Yes
2. List specific outreach methods for Tribes?  ( yes/no)
No
3. What level of outreach engagement? 
Inform/consult; It is stated tribes will continue to be contacted during implementation, but level of direct involvement/empowerment/collaboration is not specified
",
Martha,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Yes,"Environmental and Ecosystem - There are numerous environmental organizations dedicated to preserving and maintaining environmental values operating within the boundaries of the UVR Basin. To account for these users’ interests, the Agency designated a seat on its seven- member governing board to be filled by an Environmental Stakeholder Director. The Environmental Stakeholder Director is appointed from nominations received from local environmental nonprofit organizations supportive of the UVR Basin’s groundwater sustainability. The Environmental Stakeholder Director is responsible for engaging stakeholders within the UVR Basin representing environmental users of surface and groundwater and  representing their interests before the Agency.
The UVRGA Board of Directors includes an Environmental Stakeholder Director appointed from nominations received from local environmental nonprofit organizations. The Environmental Stakeholder Director is responsible for engaging stakeholders within the Basin and representing environmental interests before the Agency. Thus, many of the interests in the Basin have direct representation in the SMGA process by virtue of a director on the UVRGA Board of Directors.","Appendix E Page 5 / 4.2
Page 22 / 2.3","1. Documents outreach plans to stakeholders? (yes/no)
Yes
2. List specific outreach methods for Environmental stakeholders?  ( yes/no)
Yes
3. What level of outreach engagement? 
Involve/empower; As with DACs, environmental stakeholders are represented on the BoD, which will likely be involved with the implementation of the GSP",
Martha,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Appendix E,,
