Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"ISW: figure included which shows percentage of connection over model period; lack of groundwater and surface water monitoring points in basin; vague analysis and not enough detail about data used in model
GDEs: map of GDEs from NC dataset, but no details about assessment. No description of groundwater data. It seems all NC datset GDEs are included as pGDEs.
SMC: The last three plans from Montgomery & consultants, the MT is the same for all of them. Their explanation is very vague and lots of repetition.
CLIMATE CHANGE: Good use of DWR 2030/2070 change factors and taking precip, ET, streamflow, and sea level rise into account, but only one scenario used (central tendency). Projected sustainable yield is not based on projected water budget but instead vaguely claims to aim to pump in such a way that change in GW storage is 0 (despite projecting losses of 20,000+ AFY in storage in the water budget).
OTHER: No mention of OpenET, no plans for water markerts (exporting prohibited), vague reference to maybe requiring flow meters at some point. There were several PMAs related to demand reduction/supply augmentation, with varying levels of planning.
Stakeholders: Mostly focused on DACs like the rest of the Salinas Valley Basin, no Tribes are present in the Plan Area, Environmental Stakeholders are minimally engaged compared to DACs. Overall GSP lacks documentation and detail on outreach for specific stakeholders, . Domestic wells were not mapped by location depth. ",,,,GSP ID,39,,,
,,,,,,,GSA Name,Salinas Valley Basin GSA,,,
,,,,,,,Subbasin Name,SALINAS VALLEY - EAST SIDE AQUIFER,,,
,,,,,,,Consultant,Montgomery & Associates Water Resource Consultants,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,352,,,
,,,,,,,DAC Population,721,,,
,,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,
,,,,,,,Point Contact Name,Sara,,,
,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
