GSP,GSP_ID,run,question,answer_3class,yes_prob,pred_bin,human
1_BigValley_DraftGSP,1,1,1,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,1,3,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,1,4,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,1,5,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,1,6,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,1,7,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,1,14,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,1,17,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,1,18,No,0.15000000000000002,No,Somewhat
1_BigValley_DraftGSP,1,1,22,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,1,24,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,1,25,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,1,28,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,1,29,No,0.15000000000000002,No,Not Applicable
1_BigValley_DraftGSP,1,1,30,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,1,31,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,1,32,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,1,33,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,1,34,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,1,36,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,1,37,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,1,40,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,1,41,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,1,42,No,0.0,No,No
1_BigValley_DraftGSP,1,1,43,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,1,44,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,1,45,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,1,46,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,1,47,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,1,48,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,1,49,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,1,50,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,1,51,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,1,52,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,1,53,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,1,54,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,1,55,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,1,56,Yes,1.0,Yes,Yes
1_BigValley_DraftGSP,1,1,57,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,1,58,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,1,59,Yes,1.0,Yes,No
1_BigValley_DraftGSP,1,1,60,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,1,61,Somewhat,0.25,No,No
1_BigValley_DraftGSP,1,1,62,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,1,63,Somewhat,0.25,No,Yes
1_BigValley_DraftGSP,1,1,64,Yes,1.0,Yes,Somewhat
1_BigValley_DraftGSP,1,1,65,Somewhat,0.25,No,Somewhat
1_BigValley_DraftGSP,1,1,66,No,0.0,No,No
1_BigValley_DraftGSP,1,1,67,No,0.15000000000000002,No,No
1_BigValley_DraftGSP,1,1,68,Yes,1.0,Yes,Somewhat
