Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,"Main problems with this plan: 1)lack of data in ISW and GDE sections, 2) the plan only considers the main pumping aquifer as the principle aquifer, resulting in ISWs and GDEs to be ignored in the sustainable management criteria section, 3) no disucssion of domestic or private wells even though they are mentioned, 4) the plan does not use a sustainable yield based on climate change, rather is uses a very lare range of historical yields which is problematic considering the level of groundwater pumping in recent years has caused serious groundwater declines, 5) PMAs do not acknowledge ISWs, GDEs, DACs, or domestic wells, 6) the future water budgets do not account for changes in available imported water - which the basin relies on for 80-97% of their water supply 7) the undesirable results, minimum thresholds, and measurable objectives are all vague with regards to analyzing direct impacts on DACs, GDEs, drinking water, domestic user, etc.  

Some specifics:
-GSP claims the historical period of analysis for water budget was ""sustainable"", yet between years 1985-2012 the cumulative loss of storage was 15,700 AF, and between 2013 and 2015, the loss of groundwater storage was 25,500 AF  
-Between 2010 and 2020 Ballona aquifer declined by 30 feet nearby the Charnock wellfield and several monitoring wells went dry but no discussion on private/domestic wells throughout plan 
-On page 2-103, the GSP states a lack of reliable groundwater level maps exist to quanitify the change in storage of the Silverado Aquifer but data gap is not addressed in the plan. 
-Also, on page 2-104 the GSP states that there is a lack of groundwater quality monitoring between Marina del Ray and Santa Monica's groundwater production wells and that sea water intrusion may be occuring closer to the coast but this is unknown. The plan does include a PMA to install two new wells to monitor this.                                                                                                                                                                                -There are 2,044 wells in subbasin. 10 of those are the City of Santa Monica production wells, 83 are minitoring wells, and 108 are part of investigation and remediation projects. The remaining wells are not acknowledged (page 3-20)


       ",,,,GSP ID,23,,,,
,,,,,,,GSA Name,Santa Monica Basin GSA,,,,
,,,,,,,Subbasin Name,COASTAL PLAIN OF LOS ANGELES - SANTA MONICA,,,,
,,,,,,,Consultant,DUDEK,,,,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,48,,,,
,,,,,,,DAC Population,0,"Beneficial users of groundwater and property interests potentially affected by the use of groundwater include municipal well operators, private water users, local land use planning agencies, environmental users, and disadvantaged communities",Page 2-45 / 2.1.5.1,SGMA data viewer show DAC block groups and tracts within Santa Monica Basin (refer to K8),
,,,,,,,Tribal population,0,There are no federally recognized tribal lands within the Plan Area.,Page 2-45 / 2.1.5.1,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,,
,,,,,,,Point Contact Name,Becky,,,,
,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
Martha,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","no = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Disadvantaged Communities. SMBGSA invites comments from DAC community members at quarterly public meetings and DAC community members have been invited, along with other stakeholders, to meet with Dr. Lisette Gold from the City of Santa Monica at any time to discuss the GSP development and any concerns specific to DACs. Meeting materials are posted to the SMBGSA SGMA webpage for public review and comments.

There are no Disadvantaged Communities (DAC)34 Places in the Plan Area. There are, however, several Census block groups within the Plan Area that have been identified as geographies that have less than 80% of the statewide  annual median household income ($51,026 for 2018). DAC block groups are located in portions of the City of Santa Monica, the City of Los Angeles including the UCLA campus and Venice Beach, and the unincorporated area around the West Los Angeles Veteran’s Affair campus (Figure 2-8).","Page 2-45 , 2-27/ 2.1.5.1","1. DAC's identified? (yes/no): Yes, DAC Block Groups identified
2. If yes, which level of engagment: Engagement= Inform 
3. Evidence/strategies listed for level of engagement:
 The GSP informs and invites DAC community members to public meetings.",
Martha,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,"SMBGSA has not entered into any formal agreements with the federal government regarding preparation or administration of this GSP or groundwater management pursuant to SGMA, Section 10720.3(c). There are no federally recognized Indian Tribes within the Plan Area.",Page 2-47,"1. Tribes identified? (yes/no): 
Not Applicable, there are no federally recognized Tribes in the Basin. 
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:",
Martha,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"Environmental Users. There are limited environmental users of groundwater in the Plan Area (See Section 2.4.7). The SMBGSA has taken steps to incorporate the interests of environmental users in the development of the GSP through a review and documentation of the potential interconnectedness of surface and groundwater in the Subbasin and avoiding groundwater production in areas adjacent to surface water bodies.

Specifically, the SMBGSA will implement the following tiered outreach  stategy to actively engage a diverse group of stakeholders in the development of the GSP. 
1. Facilitate engagement of a diverse group of stakeholders in the development of the GSP through SMBGSA.  2. Provide regular updates on GSP development progress via quarterly public workshops and website,  3. Build and maintain a website where stakeholders can obtain SMBGSA information, ask questions, and provide comments.  4. Hold quarterly public workshops where members of the public can ask questions and provide comments. ","Page 2-45 / 2.1.5.1
Appendix  D, Page 6-7","
1. Environmental Stakeholders identified? Yes Environmental stakeholders are identified but GSP or C&E Plan does not outline outreach and engagement specific for environmental stakeholders. Instead they provide general outreach and engagement stategies.  
2. Which level of engagment: Engagement = Inform
3. Evidence/strategies listed for level of engagement:

More details on direct environmental stakeholder engagement and outreach needed. ",
Martha,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Specifically, the SMBGSA will implement the following tiered outreach strategy to actively engage a diverse group of stakeholders in the development of the GSP: 1. Facilitate engagement of a diverse group of stakeholders in the development of the GSP through the SMBGSA, 2. Provide regular updates on GSP development progress via quarterly public workshops and website, 3. Build and maintain a website where stakeholders can obtain SMBGSA information, ask questions, and provide comments, 4. Hold quarterly public workshops where members of the public can ask questions and provide comments. This four-tiered engagement strategy is designed to give a diverse group of stakeholders multiple forums in which to participate, as appropriate, based on their level of interest, availability, and communication style. The SMBGSA will continuously evaluate stakeholder outreach and engagement goals. They may be adjusted as needed throughout the GSP development and implementation process. The roles and responsibilities of SMBGSA interested parties include attend quarterly public workshops, read updates on website, review technical information, collaborate with other interested parties, provide feedback to the SMBGSA, and provide input on the draft and final GSP.",Page 6-7 / Appendix D,"1. Documents outreach plans to stakeholders? (yes/no) Yes but outreach plan is too vague compared to other GSPs. Needs more details. 
2. List specific outreach methods for DACs?  ( yes/no) NO
3. What level of outreach engagement? 
Engagement= (General Stakeholder) Inform 

GSP documents DACs as stakeholders but does not include DAC-specific outreach during implementation, only provides general outreach for all stakeholders. ",
Martha,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  ( yes/no)
3. What level of outreach engagement? 

Not Applicable",
Martha,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"Specifically, the SMBGSA will implement the following tiered outreach strategy to actively engage a diverse group of stakeholders in the development of the GSP: 1. Facilitate engagement of a diverse group of stakeholders in the development of the GSP through the SMBGSA, 2. Provide regular updates on GSP development progress via quarterly public workshops and website, 3. Build and maintain a website where stakeholders can obtain SMBGSA information, ask questions, and provide comments, 4. Hold quarterly public workshops where members of the public can ask questions and provide comments. This four-tiered engagement strategy is designed to give a diverse group of stakeholders multiple forums in which to participate, as appropriate, based on their level of interest, availability, and communication style. The SMBGSA will continuously evaluate stakeholder outreach and engagement goals. They may be adjusted as needed throughout the GSP development and implementation process. The roles and responsibilities of SMBGSA interested parties include attend quarterly public workshops, read updates on website, review technical information, collaborate with other interested parties, provide feedback to the SMBGSA, and provide input on the draft and final GSP.",Page 6-7 / Appendix D,"1. Documents outreach plans to stakeholders? (yes/no) 
Yes but outreach plan is too vague compared to other GSPs. Needs more details.
2. List specific outreach methods for Environmental stakeholders?  ( yes/no) NO
3. What level of outreach engagement? 
Engagement = Inform (General Stakeholder)",
Martha,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Appendix D,"""Santa Monica Groundwater Basin Public Outreach and Engagement Plan"" - very short and vague. No discussion of specific beneficial users or engagement and implentation process. ",
Martha,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map, DACs can be identified by a city's name))","Disadvantaged Communit*, DAC",Yes,"There are no Disadvantaged Communities (DAC) Places in the Plan Area. There are, however, several Census block groups within the Plan Area that have been identified as geographies that have less than 80% of the statewide annual median household income ($51,026 for 2018). DAC block groups are located in portions of the City of Santa Monica, the City of Los Angeles including the UCLA campus and Venice Beach, and the unincorporated area around the West Los Angeles Veteran’s Affair campus (Figure 2-8).","Page 2-27 / 2.1.3.2 (pdf page 26)
Figure 2-8","1. Location on the map? (yes/no)
YES
2. Identified by name? (yes/no)
Identified by city location such as Venice Beach ,City of  Santa Monica, City of Los Angeles, and UCLA Campus. 
3. DAC places, tracks, or block data used in map?
DAC Blocks used",
Martha,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Not Applicable,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)
Not Applicable ",
Martha,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",Somewhat,,Figure 2-8,"1. Does the GSP document the size of the population for each DAC?

Figure 2-8 presents DAC blocks overlaying a population density layer. The GSP does not describe the size of population of DACs in the text. ",
Martha,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?

GSP mentions domestic well throughout Plan Area and Basin Setting chapter but does give a detailed description or map of location and/or depth.",
Martha,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,No,,,"1. How are domestic wells mapped (density/point/none)?
Domestic wells are not mapped. ",
